borough,precinct,crashes,injuries,fatalities,type_of_injury,year
Manhattan,28,1,1,0,BB,2016
Manhattan,28,66,52,0,BM,2018
Manhattan,28,50,49,1,BM,2014
Manhattan,28,50,50,0,BM,2017
Manhattan,28,3,0,0,BP,2015
Manhattan,28,1,0,0,BP,2018
Manhattan,28,0,0,0,BB,2014
Manhattan,30,40,38,0,BM,2019
Manhattan,30,3,0,0,BP,2015
Manhattan,30,26,26,0,BM,2016
Manhattan,30,0,0,0,SB,2019
Manhattan,30,3,3,0,SB,2018
Manhattan,30,2,2,0,SB,2017
Manhattan,30,1,1,0,BB,2014
Manhattan,30,3,0,0,BP,2019
Manhattan,30,0,0,0,BB,2016
Manhattan,30,27,28,0,BM,2015
Manhattan,30,1,0,0,BP,2014
Manhattan,30,1,1,0,BB,2015
Manhattan,30,6,6,0,SB,2015
Manhattan,30,5,0,0,BP,2016
Manhattan,30,0,0,0,BB,2018
Manhattan,30,23,24,0,BM,2017
Manhattan,30,3,1,0,BP,2017
Manhattan,30,2,1,0,SB,2016
Manhattan,30,21,21,0,BM,2014
Manhattan,30,0,0,0,BB,2017
Manhattan,30,5,3,0,SB,2014
Manhattan,30,4,2,0,BP,2018
Manhattan,30,32,28,0,BM,2018
Manhattan,30,1,2,0,BB,2019
Manhattan,32,0,0,0,BB,2018
Manhattan,32,54,38,0,BM,2018
Manhattan,32,1,1,0,SB,2018
Manhattan,32,0,0,0,BB,2019
Manhattan,32,3,0,0,BP,2017
Manhattan,32,32,32,0,BM,2017
Manhattan,32,1,0,0,BP,2015
Manhattan,32,2,2,0,SB,2015
Manhattan,32,0,0,0,BB,2017
Manhattan,32,1,0,0,BB,2014
Manhattan,32,1,0,0,BP,2016
Manhattan,32,29,30,1,BM,2015
Manhattan,32,24,25,0,BM,2014
Manhattan,32,0,0,0,BP,2018
Manhattan,32,50,50,0,BM,2016
Manhattan,32,0,0,0,SB,2017
Manhattan,32,0,0,0,BB,2016
Manhattan,32,4,1,0,BP,2019
Manhattan,32,2,1,0,SB,2014
Manhattan,32,0,0,0,SB,2016
Manhattan,32,70,58,0,BM,2019
Manhattan,32,1,0,0,BP,2014
Manhattan,32,0,0,0,BB,2015
Manhattan,32,1,1,0,SB,2019
Manhattan,33,0,0,0,BB,2018
Manhattan,33,3,0,0,BP,2019
Manhattan,33,1,1,0,SB,2015
Manhattan,33,3,0,0,BP,2014
Manhattan,33,1,1,0,BB,2016
Manhattan,33,1,0,0,BB,2019
Manhattan,33,23,23,0,BM,2016
Manhattan,33,56,35,0,BM,2019
Manhattan,33,4,3,0,SB,2014
Manhattan,33,51,42,0,BM,2018
Manhattan,33,2,1,0,BP,2017
Manhattan,33,0,0,0,BB,2017
